,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,
1,0-0,56.9808-4,100.213-4,71.5763-8,78.5593-6,67.7276-1,82.6613-5,70.4175-1,65.9513-3,56.3873-5,81.2124-7,108.261-3,99.7059-7,104.917-2,84.385-2,101.391-2,54.9157-6,113.628-6,111.92-6,100-4,114.521-4,89.1665-2,95.065-8,110.854-8,141.421-4,121.295-4,100-8,113.725-8,168.454-2,160.497-2,142.776-6,177.623-6,141.421-4,174.597-4,100-8,147.937-4,149.974-8,166.361-8,173.205-4,141.421-8,
2,56.9808-5,0-0,43.4614-4,43.6029-7,80.8015-6,105.82-1,132.865-5,98.7173-1,69.5296-3,110.342-5,106.253-7,101.886-3,113.187-7,98.4993-1,100-6,90.8423-2,76.94-5,141.421-6,121.275-6,95.065-1,75.3893-3,64.0198-2,100-8,91.3466-8,113.628-3,68.8061-4,84.385-7,84.6441-8,135.767-2,141.421-6,121.038-6,173.205-6,101.974-2,120.059-4,67.8839-6,100-8,103.11-8,141.421-8,119.469-4,92.099-8,
3,100.213-5,43.4614-5,0-0,65.2094-7,103.865-5,141.421-5,173.205-5,132.341-1,100-7,153.261-5,141.421-7,120.471-3,143.137-7,110.205-1,124.601-5,100-6,109.121-5,170.5-5,141.421-6,110.854-1,67.0069-3,69.3754-1,124.232-5,100-8,111.92-3,42.569-3,101.391-7,88.2448-7,117.563-2,135.908-6,116.548-6,178.929-6,81.2124-2,78.5234-4,65.9513-6,69.5296-6,76.9953-8,135.569-6,82.6613-4,67.7276-8,
4,71.5763-1,43.6029-2,65.2094-2,0-0,87.4221-6,135.178-1,136.054-5,125.726-1,76.9953-1,109.635-5,78.5234-5,102.281-3,81.6947-7,141.421-2,133.726-2,128.83-2,100-6,147.19-6,129.749-6,130.887-1,100-4,106.911-2,75.3893-6,67.0069-6,122.572-3,78.0015-4,54.9157-3,47.9262-8,173.205-2,170.74-2,141.421-6,181.479-6,140.578-2,141.421-4,88.0571-2,114.764-2,100-8,130.204-6,132.871-4,75.144-4,
5,78.5593-3,80.8015-3,103.865-4,87.4221-3,0-0,122.825-1,95.4517-5,141.421-3,134.487-3,100-7,110.054-7,173.205-3,141.421-7,136.05-1,84.6441-1,88.2448-2,47.9262-1,68.8061-5,42.569-6,156.181-3,154.452-3,100-4,64.0198-7,69.3754-8,193.986-3,141.421-4,139.319-3,100-8,151.284-2,113.187-2,81.6947-2,101.886-6,146.289-4,168.025-4,56.3873-4,110.342-4,109.635-4,98.7173-8,186.115-4,128.132-4,
6,67.7276-8,105.82-8,141.421-8,135.178-8,122.825-8,0-0,100-8,42.569-3,100-8,88.2448-7,141.421-8,137.154-3,157.437-7,78.5234-4,69.5296-6,100-8,76.9953-8,135.569-6,141.421-8,82.6613-4,136.054-4,95.4517-4,157.297-8,173.205-8,164.531-4,161.587-4,157.558-8,179.124-8,166.859-4,166.673-6,166.145-8,203.284-6,145.395-4,200.467-4,137.455-8,184.779-8,199.873-8,218.376-8,203.414-4,197.816-8,
7,82.6613-4,132.865-4,173.205-4,136.054-4,95.4517-4,100-4,0-0,125.845-3,141.421-4,42.569-3,100-8,181.208-3,137.154-3,162.492-4,106.253-2,141.421-4,78.5234-4,69.5296-6,100-8,170.525-4,196.846-4,152.105-4,105.82-8,141.421-8,222.073-4,200.338-4,164.531-4,161.587-4,219.271-4,185.027-2,166.859-4,166.673-6,208.292-4,245.814-4,145.395-4,201.491-4,200.467-4,184.779-8,252.236-4,203.414-4,
8,70.4175-8,98.7173-8,132.341-8,125.726-8,141.421-8,42.569-6,125.845-6,0-0,69.3754-8,100-8,137.251-8,100-8,141.421-8,81.6947-2,101.886-6,120.471-6,102.281-6,167.184-6,168.932-6,56.3873-4,109.635-4,100-8,165.272-8,177.592-8,128.132-4,141.421-8,134.896-8,173.205-8,176.213-2,189.809-6,186.651-6,231.51-6,142.083-4,190.78-4,148.211-8,188.127-8,200.46-8,230.133-8,182.827-4,187.63-8,
9,65.9513-6,69.5296-6,100-8,76.9953-8,134.487-6,100-6,141.421-6,69.3754-1,0-0,103.865-5,100-8,42.569-3,88.2448-7,117.563-2,135.908-6,141.421-6,116.548-6,178.929-6,173.205-6,81.2124-2,78.5234-4,110.054-2,135.569-6,141.421-8,82.6613-4,95.4517-4,67.7276-8,122.825-8,188.407-2,203.51-6,187.775-6,234.438-6,144.576-2,166.859-4,136.589-6,166.673-6,166.145-8,203.284-6,145.395-4,137.455-8,
10,56.3873-4,110.342-4,153.261-4,109.635-4,100-8,88.2448-2,42.569-6,100-4,103.865-4,0-0,69.3754-8,141.421-4,100-8,151.284-2,113.187-2,143.137-2,81.6947-2,101.886-6,120.471-6,146.289-4,168.025-4,141.421-4,98.7173-8,132.341-8,186.115-4,173.205-4,128.132-4,141.421-8,217.402-2,196.106-2,176.213-2,189.809-6,195.981-4,229.368-4,142.083-4,194.479-4,190.78-4,188.127-8,227.259-4,182.827-4,
